frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
3,0.12,1318.1245292554647,624.6390383621647,1318.1262751061267,624.6406893492999,1314,490,47349.0,122.7666681184934,54.85711757610064,69.21022083598308,69.87290087683542,54.01051508715326,102.50765275187909,0.22701770773253993,121.74263065213275,11.494892744002193,102.8983732947633,141.34775676512575,2.227531314396632,0.9557992135514985,789.0,16341.0,139.59898706025157,12073693.0,255.0
4,0.16,1318.0843453931675,624.3791752273879,1318.0853221453872,624.3804604486422,1343,489,47432.0,122.87422236364127,54.90679033291422,69.2750291873535,69.93961948337363,54.057699914925934,102.51829576682654,0.22708044003904282,121.83829750858273,11.533422388275113,102.93887906216254,141.57620529463642,2.292139903632894,0.9478397691342186,793.0,16388.0,139.64130930788832,12094970.0,255.0
5,0.2,1318.0961441878637,624.2009977997574,1318.0967532195143,624.2018750786526,1315,489,47678.0,123.19244600814926,55.0867844892612,69.39740111004696,70.05405609353065,54.24926111053971,102.46809201308277,0.22560856379093341,122.15214591155818,11.482438532412422,103.0462499884271,141.74690602438667,2.306095376435755,0.9408537291716392,798.0,16361.0,139.90463078767078,12157750.0,255.0
6,0.24,1317.973084837854,624.1607192307865,1317.9732445672653,624.1613490767492,1328,487,47766.0,123.30608267013815,55.152794227421765,69.44350322568948,70.10766503570282,54.30604160303314,102.54048713621057,0.225390810328979,122.26685308117507,11.46169992381809,103.17121592798327,141.91615368813527,2.326405113421097,0.8970613201222497,818.0,16487.0,139.96163673332097,12180235.0,255.0
7,0.28,1317.8817139165149,624.1160952612142,1317.881897021241,624.1171184381415,1314,488,47738.0,123.2699369134332,55.10704861719639,69.46367047830535,70.12172481467466,54.267227979985094,102.46340729250932,0.22609964139632277,122.24041270732653,11.515580137908975,103.13700770484078,142.03881126262013,2.370209843538944,0.8965354708369124,818.0,16528.0,139.947446763913,12173055.0,255.0
8,0.32,1317.7650934256985,624.0395950386983,1317.7654563707856,624.0409729774951,1328,485,47812.0,123.36544199336944,55.10740538060411,69.56484158520055,70.20421513913278,54.29052854094021,102.2621016579148,0.22667708152073718,122.30248410540102,11.549631805891556,102.96238419985336,142.39085617921793,2.3666810933725957,0.8617351813456786,835.0,16692.0,140.20350966041138,12191881.0,255.0
9,0.36,1317.761939953871,623.9844872099761,1317.76218469877,623.9854283927455,1328,486,47970.0,123.5691111897971,55.21907806433406,69.67038744282577,70.33412513589701,54.37113489781554,102.47758759904472,0.22695939143677935,122.50801966305876,11.599162331016434,103.39131657538934,141.97267527796168,2.4190868348474033,0.8666574630523056,834.0,16536.0,140.42991066791427,12232229.0,255.0
10,0.4,1317.8330835531326,624.039805097053,1317.8335070457767,624.0405027932961,1327,486,47972.0,123.57168712941005,55.170273829681776,69.73309837252039,70.3801261429485,54.34245087568587,102.29183996246805,0.22787221544173764,122.49543233532245,11.661555738799136,103.31734057389866,141.94658981948882,2.4696474837018845,0.8625516974085389,836.0,16513.0,140.42562987467704,12232755.0,255.0
11,0.44,1317.920348079108,624.2407608082858,1317.920692381309,624.2412308076396,1314,488,48066.0,123.69269577994524,55.30224994007155,69.70100974603427,70.36043249958513,54.460803763094006,102.45815388433638,0.22597400515673172,122.64076137830848,11.544905723307929,103.74996873305665,142.1957838925892,2.4468882577646287,0.8663131269673177,835.0,16687.0,140.41867937738618,12256754.0,255.0
12,0.48,1317.9200398821067,624.1753179069068,1317.9203071001386,624.1755271816733,1327,486,48323.0,124.02293590324057,55.48628967594745,69.8573290355063,70.5414539485661,54.613899666664274,102.68012996836704,0.22578999142142842,122.96706393108911,11.589617354558806,103.7561382899315,142.2567762015696,2.4815425901852515,0.8626603371652193,839.0,16698.0,140.77088278203448,12322318.0,255.0
13,0.52,1317.9788166703058,624.1770407765719,1317.9790348591987,624.1773559938799,1328,485,48366.0,124.0781042535919,55.512436875614874,69.88078323743899,70.54852927007047,54.66131659205685,102.53968685852841,0.2251955192034545,123.00956051427185,11.580612928630172,103.44815903931678,142.2419415863371,2.5013063728622225,0.853228084968464,844.0,16722.0,140.89662640423333,12333283.0,255.0
14,0.56,1317.8862517433308,623.853082746409,1317.8864832511197,623.8534808363088,1328,484,48451.0,124.18708586439591,55.509859277819594,69.99895198492976,70.65359197826072,54.674195893504354,102.38167317642908,0.22616537443238605,123.12142753962597,11.633568810815499,103.52184615734653,142.54563236783926,2.4714884144791633,0.8649453882414594,839.0,16698.0,141.00903321772398,12354941.0,255.0
15,0.6,1318.1063376946115,623.7269262573277,1318.1065038634767,623.727635221685,1328,484,48402.0,124.12427285212122,55.50180609210797,69.94494949620427,70.60279556546762,54.662525534897355,102.42634687238765,0.2257739215976141,123.0728160667801,11.619919973543102,103.77159205328351,142.0376590177621,2.5617042707578954,0.8807874618986775,831.0,16529.0,140.94680408498579,12342406.0,255.0
16,0.64,1318.0342026335081,623.8771548580953,1318.03430057374,623.8777809881537,1328,484,48454.0,124.19093052694868,55.57949842544792,69.90984855709847,70.564846267922,54.7455024790653,102.44148496773927,0.2241816517078985,123.12301579722435,11.509316239328877,103.70466299904915,142.87832996368235,2.459036142187936,0.8447420602193384,849.0,16639.0,140.98229868913788,12355686.0,255.0
17,0.68,1317.9379041957031,624.0811729834136,1317.9382409138536,624.0815030920634,1328,484,48673.0,124.47127013983446,55.689629721963875,70.09888080578779,70.77119382720532,54.83270988256572,102.56255575014994,0.22521146080359955,123.40119361073707,11.599398929759106,104.20906902388725,143.0993724000968,2.4589100879344774,0.8545889108427143,846.0,16805.0,141.28715605395305,12411531.0,255.0
18,0.72,1317.8873548351673,624.2179075558047,1317.8877278699294,624.218200853999,1327,485,48712.0,124.521127427376,55.687529412257845,70.1488601889679,70.80545390105682,54.85026176526204,102.40701881377514,0.22533846274173297,123.45997817921739,11.620857030094534,104.25253067582281,142.7672329168437,2.474119942152291,0.8532553193041402,847.0,16863.0,141.37549730911041,12421483.0,255.0
