frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
33,1.32,1315.9052282408297,629.855462209037,1315.9056531162018,629.8558668043993,1325,492,49371.0,125.36058946407331,56.36294227918235,70.21696450602067,70.8414782314899,55.57596898645628,102.3365825754143,0.21548829338583608,124.33867299324619,11.182239415432278,105.11358250527681,142.01402671527757,2.6916171263919,0.8607289440518628,849.0,17165.0,142.06543928596852,12589531.0,255.0
34,1.36,1315.8002430607444,629.8862318569422,1315.800672595774,629.886691922773,1325,492,49361.0,125.34789304937715,56.31951583118328,70.25388080187294,70.86197752839449,55.55245963904739,102.1557194621517,0.21604700324955728,124.32780024569131,11.221535611238794,104.2182482635501,142.51726527512776,2.717048837085076,0.8406350345047279,859.0,17216.0,142.09489434283685,12586977.0,255.0
35,1.4,1315.9602833523054,629.8660756689055,1315.9605031293675,629.8663385388184,1325,492,49371.0,125.36058946407331,56.38552539049757,70.17970841794413,70.79469604459992,55.61141932321826,102.27112534279482,0.21446912791060446,124.35692145273404,11.12746611280403,104.0585509105749,142.6410244966125,2.6667490960700557,0.8587048907979609,850.0,17176.0,142.07694502418255,12589557.0,255.0
36,1.44,1315.8107142545036,629.9012236191384,1315.8109071755603,629.901584214578,1333,492,49362.0,125.34916274871674,56.35218918359348,70.21885892045408,70.83808445383355,55.57178389061925,102.28340588853736,0.21550978800342369,124.34134005256693,11.182039419844408,104.20754786891963,142.50408274642072,2.730928942623626,0.8545223421636986,852.0,17139.0,142.06479516242422,12587250.0,255.0
37,1.48,1315.772707613556,629.9582482518861,1315.772863507493,629.9585459700284,1326,492,49380.0,125.37201513797082,56.36862622515441,70.2175541802999,70.82854083525733,55.59896348604714,102.21373448829249,0.215020345889,124.36911288733681,11.15806964001938,104.24468897870192,142.19830281146247,2.733718219831109,0.8429200299621497,858.0,17219.0,141.99875503262578,12591856.0,255.0
38,1.52,1315.8081678353558,629.8346487219742,1315.8082960995048,629.8348629392585,1324,492,49686.0,125.75987040756611,56.581485857380386,70.38921833337515,71.0074652938948,55.803642102902394,102.29436335702061,0.21411584159587826,124.7504487364945,11.165907915321272,105.21095291507797,143.00286016494525,2.7371207723380446,0.8541057971273894,855.0,17275.0,142.41264889044268,12669893.0,255.0
39,1.56,1315.707710648003,629.8802012041623,1315.707999194036,629.8803949224259,1324,492,49630.0,125.68897983236849,56.54380202753356,70.35212678880134,70.96756703318134,55.7694156400029,102.26856305892878,0.21415629742629405,124.69432486506602,11.165514165420078,105.31068144727286,142.86077071052557,2.6765862979546027,0.8491658012886473,857.0,17096.0,142.41614988157875,12655603.0,255.0
40,1.6,1315.7189671604856,629.9529048384384,1315.719260810049,629.9531363233755,1324,492,49676.0,125.74721430737934,56.566824785646055,70.39681372957973,71.02524179450079,55.77573018473021,102.37952742545441,0.21470552193109593,124.72861867963572,11.185296973896932,105.29833373249028,142.87191438756957,2.697282235058903,0.8228490506562475,871.0,17205.0,142.5419318288542,12667331.0,255.0
41,1.64,1315.7557002596654,629.9227942830328,1315.7559267458241,629.9229422418998,1324,492,49690.0,125.76493249102693,56.62479787649642,70.34044099926408,70.97133376885078,55.83202627162483,102.44490041169432,0.21331580926087335,124.75430314836237,11.105234606198835,105.2620534786332,142.55362563305388,2.6762843764546034,0.8541745574057075,855.0,17256.0,142.4187118618026,12670914.0,255.0
42,1.68,1315.733125390888,629.975153247045,1315.7333588139445,629.9753776830078,1324,492,49711.0,125.79150508711794,56.63674979915505,70.36631976119115,71.0053590967249,55.83349679261935,102.51353903276261,0.21367207344783856,124.78092526795267,11.147584879502855,105.28385328653918,142.85220233905983,2.7466861717110347,0.8446279740540952,860.0,17353.0,142.3770519547808,12676264.0,255.0
