frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
3,0.12,1314.566393956508,631.754770593149,1314.5673666166704,631.7560959931434,1318,496,46670.0,121.88323259660253,54.57859830839369,68.54933125573119,69.11220054484313,53.8640691441553,101.72873323379635,0.2206286484944746,120.87661334794258,11.214624626923188,101.4547774455989,138.99038578111413,2.8693142278289994,0.9590343413703184,782.0,16394.0,138.85667105069265,11900669.0,255.0
4,0.16,1314.5281459674804,631.4535272559585,1314.5288750559594,631.4541985546484,1317,496,46909.0,122.19491990666158,54.70829915617383,68.73061355130845,69.28823262487201,54.00033384547116,101.65805668946294,0.22064206576273726,121.17474657355427,11.24829147443781,101.60340024041112,139.15014728073916,2.778532747310515,0.9256786690237097,798.0,16428.0,139.1983023087709,11961678.0,255.0
5,0.2,1314.594538596469,631.3578629200533,1314.5950409705224,631.358093008407,1317,496,46985.0,122.29386739467112,54.77909759477771,68.73963180242701,69.28499372584,54.08767103547469,101.55846105315042,0.21934508286889587,121.28968664137282,11.16919113451849,102.42188061867138,139.13482780925474,2.78364607319346,0.9043704712094183,808.0,16467.0,139.2097798977886,11981096.0,255.0
6,0.24,1314.5702874809788,631.344473802711,1314.570542372161,631.3447133054322,1317,496,47071.0,122.40573782530463,54.82908914455016,68.8275796416641,69.393979621387,54.11044564644768,101.75081044028121,0.2202429383402733,121.394647374772,11.253000334455441,101.56678978625078,139.84877183310192,2.882469469142994,0.9105277896983858,806.0,16479.0,139.40002018825325,12003055.0,255.0
7,0.28,1314.5615668548714,631.2965530557756,1314.5617691377151,631.2969927205586,1324,495,47119.0,122.46813270028262,54.800910694993185,68.9153392462898,69.45552542287417,54.114635586542654,101.45330468011997,0.22087356971140581,121.44201112379031,11.2832375469011,101.81437765646838,139.83159933074313,2.8379331964158023,0.88059907343544,820.0,16591.0,139.4730259846728,12015280.0,255.0
8,0.32,1314.4498775692227,631.2711074970407,1314.449926019869,631.2718241386599,1324,494,47310.0,122.71609802855995,54.905634396136435,69.05837659777991,69.59744394871598,54.220695887901826,101.42805289301715,0.22093840216523986,121.69468974678234,11.296299580540891,102.56794407528527,140.63666002069337,2.8035331468656906,0.8756053141279405,824.0,16603.0,139.80774303353718,12063960.0,255.0
9,0.36,1314.5489656478949,631.3522892102174,1314.5490688737807,631.3529411764706,1324,494,47362.0,122.78352018669563,54.958665493152246,69.08913644386955,69.6608184033235,54.232223508971224,101.75384789446196,0.22148167718937084,121.74778225198396,11.335420311629562,102.35763254675835,140.3147319807469,2.84749577386352,0.859791693205204,832.0,16580.0,139.79819755665292,12077222.0,255.0
10,0.4,1314.4374617430753,631.2340165164849,1314.4375461468683,631.23458430901,1324,494,47403.0,122.83665387322398,54.944629546589496,69.15467629045025,69.71486721679179,54.232083288345166,101.61530308999879,0.22208726124801936,121.8121612106872,11.343080771224326,102.58098954085604,140.6112945821377,2.7820179263830433,0.8462365325547438,839.0,16669.0,139.94914911834763,12087681.0,255.0
11,0.44,1314.3932721351475,631.3837227443887,1314.3930551748856,631.3847062048028,1324,494,47431.0,122.87292708967006,55.03434868226502,69.08675076285144,69.65060266149183,54.31898576686118,101.70510812061383,0.22012181242915696,121.8430287025172,11.264036610420376,102.62270436569725,140.5697585328524,2.8567042122814605,0.8427138925118446,841.0,16648.0,139.88868121144168,12094803.0,255.0
12,0.48,1314.4555852836534,631.2731737454128,1314.4555357330255,631.2739217126666,1324,494,47645.0,123.14980522610138,55.14972654983296,69.2490489828234,69.81448599238527,54.43216575854635,101.70286179843097,0.22033135409056348,122.13273900219409,11.288308397450281,102.56220254479233,140.9790072934432,2.791056518367626,0.8365395323300623,846.0,16734.0,140.25800596807792,12149374.0,255.0
13,0.52,1314.4248538761833,631.2292318558231,1314.4249087323235,631.2297427720196,1324,494,47662.0,123.17177353311038,55.14676175215187,69.2871844063681,69.86575753115648,54.41190291938255,101.81449125843376,0.2211935454200481,122.14402568743608,11.330469921653124,102.41058657708655,140.57796917147027,2.81403028315988,0.8428047548390091,843.0,16697.0,140.17047662757167,12153734.0,255.0
14,0.56,1314.4859466360704,631.1999509626357,1314.4858837584625,631.2005826748548,1324,494,47711.0,123.23507203598672,55.24263371541536,69.2277231543222,69.79636029347084,54.52242036750597,101.7734009950539,0.21883576538580163,122.21116616239378,11.224224789699223,102.53310572474165,140.52148205761426,2.8106124968257755,0.8619781992847312,834.0,16687.0,140.12982301510073,12166233.0,255.0
15,0.6,1314.539203983048,631.1692903726564,1314.5391409912927,631.1697295713329,1324,494,47776.0,123.3189893013918,55.2265734743061,69.35146196990337,69.92198923558564,54.502432206411946,101.7422308774481,0.2205251480649547,122.29481096671972,11.33714261020177,102.48040137902301,140.5423079869545,2.869458301871996,0.8488435607228582,841.0,16806.0,140.2793413164286,12182831.0,255.0
16,0.64,1314.4265587538828,631.202237790047,1314.4265185742972,631.2029576639893,1324,494,47808.0,123.360281446966,55.278952386222436,69.32806199083032,69.89178596165085,54.56446656399605,101.70277676286975,0.21930072592600225,122.32614963971598,11.28230447052122,102.71622941382422,140.30391220374045,2.8876467339151493,0.8256811643771357,853.0,16810.0,140.28170145771418,12190956.0,255.0
17,0.68,1314.4390908077746,631.212786876084,1314.4390365863821,631.2134344528711,1325,493,47996.0,123.60259421742415,55.378597154535264,69.47019643023167,70.03359865385852,54.664360185129205,101.68377466693275,0.21945521527020007,122.58419726460473,11.290605791844897,102.57972842680162,140.59410311888178,2.8494993042205605,0.8387319831439998,848.0,16807.0,140.62531877611772,12238908.0,255.0
18,0.72,1314.4471459637725,631.1980144143508,1314.4470541650167,631.1987370527062,1325,493,47983.0,123.58585383755225,55.42137658245386,69.3990082418376,69.97628286861615,54.69068625585371,101.85753478662295,0.21843967678966147,122.57481798473508,11.21151742066708,102.69588875404881,140.9414771980178,2.824589239405846,0.8606891843470039,837.0,16756.0,140.6088629938631,12235584.0,255.0
19,0.76,1314.4958690294757,631.2146357789425,1314.4958472971005,631.2151495597511,1317,494,48041.0,123.66052418680542,55.4022905465233,69.50070410157103,70.07660620121189,54.672030616539104,101.8014895871302,0.21982479488863116,122.64436744194337,11.267568077989361,102.64637647509652,140.76597916980344,2.743040930898803,0.8576260840128779,839.0,16766.0,140.7321178404109,12250390.0,255.0
20,0.8,1314.423773326512,631.2225658460857,1314.4236712762413,631.2231339553482,1325,493,48016.0,123.62834422170708,55.41042971147049,69.46258190936915,70.03745325054115,54.68200022405813,101.80797194063824,0.21924630770843134,122.60888366522377,11.269029715378029,102.59487322493992,141.0762255993119,2.8230545086655856,0.8612811178043419,837.0,16805.0,140.636535776678,12244008.0,255.0
